amount_invested,direction,entry_price,entry_time,wallet_balance,exit_time,exit_price,leverage,amount_exit,profit
98020.7774436438,long,1.335955,1371081600.0,392083.1097745752,1371114000.0,1.33275,200,96021.12850972067,-2.0400255803651572
97520.86521016303,short,1.33275,1371114000.0,390083.4608406521,1371153600.0,1.337515,200,95403.51844923606,-2.171173067798331
96991.5285199313,long,1.337515,1371153600.0,387966.1140797251,1371225600.0,1.33204,200,93854.80030859186,-3.2340228669505393
96207.34646709642,short,1.33204,1371225600.0,384829.38586838567,1371434400.0,1.332985,200,92616.07579900714,-3.732844527956618
95309.5288000741,long,1.332985,1371434400.0,381238.1152002964,1371484800.0,1.333185,200,94690.10508648062,-0.6499074346415196
95154.67287167572,short,1.333185,1371484800.0,380618.6914867029,1371495600.0,1.33797,200,95285.67489967856,0.1376727217374892
95187.42337867644,long,1.33797,1371495600.0,380749.69351470575,1371535200.0,1.333405,200,92064.40882418875,-3.2809109057019543
94406.66974005454,short,1.333405,1371535200.0,377626.6789602181,1371542400.0,1.338285,200,91437.89742867718,-3.144663739915585
93664.47666221019,long,1.338285,1371542400.0,374657.90664884076,1371556800.0,1.33535,200,90502.42180510098,-3.3759382102915954
92873.96294793289,short,1.33535,1371556800.0,371495.85179173155,1371560400.0,1.338515,200,90979.12901868112,-2.040220820892554
92400.25446561995,long,1.338515,1371560400.0,369601.0178624798,1371592800.0,1.338645,200,90361.76425704197,-2.206152158743732
91890.63191347547,short,1.338645,1371592800.0,367562.52765390184,1371603600.0,1.339285,200,91974.1633857378,0.09090314270662898
91911.51478154105,long,1.339285,1371603600.0,367646.0591261642,1371632400.0,1.33887,200,91500.47943220113,-0.44720767611858137
91808.75594420606,short,1.33887,1371632400.0,367235.02377682424,1371740400.0,1.32135,200,91542.3525760899,-0.2901720706008163
91742.15510217701,long,1.32135,1371740400.0,366968.6204087081,1371816000.0,1.31586,200,103137.99286625203,12.421593706168117
94591.11454319577,short,1.31586,1371816000.0,378364.45817278314,1372057200.0,1.311135,200,90972.81063025171,-3.825204862441632
93686.53856495976,long,1.311135,1372057200.0,374746.1542598391,1372161600.0,1.309555,200,96811.87507026084,3.3359504504844666
94467.87269128504,short,1.309555,1372161600.0,377871.49076514016,1372248000.0,1.304435,200,93419.02039506164,-1.1102740713247354
94205.65961722919,long,1.304435,1372248000.0,376822.63846891676,1372255200.0,1.3002,200,97617.81270186795,3.622025575217899
95058.69788838888,short,1.3002,1372255200.0,380234.7915535555,1372266000.0,1.300625,200,92225.2628439219,-2.9807214988299124
94350.33912727215,long,1.300625,1372266000.0,377401.35650908854,1372269600.0,1.300325,200,94066.08495984005,-0.30127519419793186
94279.27558541411,short,1.300325,1372269600.0,377117.10234165646,1372291200.0,1.302455,200,94078.6911504675,-0.2127555962867972
94229.12947667745,long,1.302455,1372291200.0,376916.5179067098,1372424400.0,1.30304,200,92807.30900446064,-1.5088969622379127
93873.67435862325,short,1.30304,1372424400.0,375494.697434493,1372662000.0,1.30454,200,94263.53573425568,0.4153042674595396
93971.13970253136,long,1.30454,1372662000.0,375884.55881012545,1372737600.0,1.305685,200,92972.64457151573,-1.0625550931662637
93721.51591977745,short,1.305685,1372737600.0,374886.0636791098,1372842000.0,1.295965,200,94482.82415326394,0.8123089196915503
93911.84297814907,long,1.295965,1372842000.0,375647.3719125963,1372935600.0,1.298565,200,100423.12411227729,6.93339724537536
95539.66326168113,short,1.298565,1372935600.0,382158.6530467245,1373000400.0,1.28957,200,97294.42708471755,1.8366862129607506
95978.35421744024,long,1.28957,1373000400.0,383913.41686976096,1373047200.0,1.283085,200,102091.50719459017,6.36930381542124
97506.64246172772,short,1.283085,1373047200.0,390026.5698469109,1373263200.0,1.2826549999999999,200,93068.58574091597,-4.551542960320613
96397.12828152478,long,1.2826549999999999,1373263200.0,385588.51312609913,1373360400.0,1.287,200,96691.50054892665,0.30537451960411055
96470.72134837526,short,1.287,1373360400.0,385882.885393501,1373439600.0,1.28103,200,99446.24760994589,3.084382722531331
97214.60291376791,long,1.28103,1373439600.0,388858.41165507166,1373526000.0,1.30292,200,101322.0084527334,4.2250911034516765
98241.45429850928,short,1.30292,1373526000.0,392965.81719403714,1373601600.0,1.308195,200,113372.1278489941,15.401516252507687
102024.1226861305,long,1.308195,1373601600.0,408096.49074452196,1373612400.0,1.303835,200,98392.67134387855,-3.5594046257313456
101116.2598505675,short,1.303835,1373612400.0,404465.03940227,1373619600.0,1.305305,200,98126.82205895864,-2.9564362804031052
100368.90040266528,long,1.305305,1373619600.0,401475.60161066114,1373630400.0,1.303015,200,99362.1287022829,-1.0030713660739115
100117.2074775697,short,1.303015,1373630400.0,400468.8299102788,1373846400.0,1.306175,200,98550.60149621335,-1.5647719516221335
99725.55598223061,long,1.306175,1373846400.0,398902.22392892244,1373886000.0,1.3004200000000001,200,97569.00649413327,-2.162484296885346
99186.41861020628,short,1.3004200000000001,1373886000.0,396745.6744408251,1373925600.0,1.3060399999999999,200,95268.40696826944,-3.9501493216871517
98206.91569972207,long,1.3060399999999999,1373925600.0,392827.6627988883,1374030000.0,1.3140450000000001,200,94397.2762821471,-3.8791966842980234
97254.50584532833,short,1.3140450000000001,1374030000.0,389018.0233813133,1374166800.0,1.31118,200,102657.51936495071,5.555540560984633
98605.25922523392,long,1.31118,1374166800.0,394421.0369009357,1374224400.0,1.310255,200,100543.23019086896,1.9653829632031312
99089.75196664268,short,1.310255,1374224400.0,396359.0078665707,1374242400.0,1.3137450000000002,200,98462.68735135219,-0.6328248914192347
98932.98581282007,long,1.3137450000000002,1374242400.0,395731.94325128023,1374256800.0,1.3135299999999999,200,96573.37304021412,-2.3850617195262926
98343.08261966857,short,1.3135299999999999,1374256800.0,393372.33047867427,1374447600.0,1.31582,200,98198.10581591038,-0.14741942177963246
98306.83841872902,long,1.31582,1374447600.0,393227.3536749161,1374472800.0,1.315005,200,96765.35429482476,-1.5680334640998694
97921.46738775296,short,1.315005,1374472800.0,391685.8695510118,1374480000.0,1.31595,200,97373.81536567991,-0.5592767721754344
97784.5543822347,long,1.31595,1374480000.0,391138.2175289388,1374570000.0,1.31722,200,97150.00282969489,-0.6489282039977183
97625.91649409974,short,1.31722,1374570000.0,390503.665976399,1374606000.0,1.322345,200,98478.08766761713,0.8728944158684457
97838.9592874791,long,1.322345,1374606000.0,391355.83714991633,1374667200.0,1.321205,200,94413.40758546995,-3.501214369976985
96982.57136197679,short,1.321205,1374667200.0,387930.28544790717,1374753600.0,1.32254,200,96223.54816802149,-0.7826387600328046
96792.81556348797,long,1.32254,1374753600.0,387171.26225395186,1374832800.0,1.327115,200,95904.85668503516,-0.9173809784160848
96570.82584387477,short,1.327115,1374832800.0,386283.3033754991,1375167600.0,1.327105,200,99610.75931503106,3.1478797500095097
97330.80921166384,long,1.327105,1375167600.0,389323.2368466554,1375264800.0,1.325365,200,97337.45392505772,0.0068269373774834585
97332.47039001231,short,1.325365,1375264800.0,389329.88156004925,1375279200.0,1.3278,200,96176.28154744563,-1.1878757807480094
97043.42317937064,long,1.3278,1375279200.0,388173.69271748257,1375336800.0,1.3253,200,95428.39046226925,-1.664237167434046
96639.6650000953,short,1.3253,1375336800.0,386558.6600003812,1375401600.0,1.32056,200,94984.56133237341,-1.712654599661793
96225.88908316483,long,1.32056,1375401600.0,384903.5563326593,1375682400.0,1.32704,200,99375.22940622224,3.272861755878955
97013.22416392918,short,1.32704,1375682400.0,388052.8966557167,1375779600.0,1.3287950000000002,200,101334.10528279463,4.4539094088494515
98093.44444364554,long,1.3287950000000002,1375779600.0,392373.77777458215,1375858800.0,1.3281049999999999,200,96924.7513946842,-1.191407902525796
97801.2711814052,short,1.3281049999999999,1375858800.0,391205.0847256208,1375898400.0,1.33321,200,97342.39188967028,-0.4691956312958089
97686.55135847148,long,1.33321,1375898400.0,390746.2054338859,1376031600.0,1.337545,200,94304.50961055479,-3.462136497690375
96841.0409214923,short,1.337545,1376031600.0,387364.1636859692,1376319600.0,1.33121,200,99701.96391905355,2.9542464334729375
97556.27167088263,long,1.33121,1376319600.0,390225.0866835305,1376395200.0,1.325695,200,101757.00891304592,4.305963286845322
98606.45598142344,short,1.325695,1376395200.0,394425.82392569375,1376467200.0,1.32687,200,94932.05756272917,-3.726326417599363
97687.85637674987,long,1.32687,1376467200.0,390751.4255069995,1376510400.0,1.325515,200,96905.69955281791,-0.800669451600452
97492.3171707669,short,1.325515,1376510400.0,389969.2686830675,1376532000.0,1.329975,200,96591.13931682077,-0.9243578161832238
97267.02270728035,long,1.329975,1376532000.0,389068.0908291214,1376568000.0,1.323315,200,94310.73128443572,-3.039356341502736
96527.9498515692,short,1.323315,1376568000.0,386111.7994062768,1376586000.0,1.333575,200,92128.20204875659,-4.558003987009036
95428.01290086604,long,1.333575,1376586000.0,381712.0516034642,1376632800.0,1.3325850000000001,200,88702.17022276291,-7.048079985790096
93746.55223134026,short,1.3325850000000001,1376632800.0,374986.20892536105,1376906400.0,1.33589,200,93102.56044472457,-0.6869498357939593
93585.55428468634,long,1.33589,1376906400.0,374342.21713874536,1377054000.0,1.34216,200,91440.98135754152,-2.291564059791805
93049.41105290015,short,1.34216,1377054000.0,372197.64421160053,1377154800.0,1.3351899999999999,200,97107.86963048275,4.361616620308641
94064.02569729577,long,1.3351899999999999,1377154800.0,376256.10278918315,1377500400.0,1.336805,200,98599.13308758533,4.82129842590815
95197.80254486817,short,1.336805,1377500400.0,380791.2101794727,1377608400.0,1.3386049999999998,200,96254.10562116455,1.1095876670036828
95461.87831394226,long,1.3386049999999998,1377608400.0,381847.51325576904,1377684000.0,1.3350899999999999,200,94286.15767651726,-1.2316127214241916
95167.94815458602,short,1.3350899999999999,1377684000.0,380671.7926183441,1377820800.0,1.32402,200,92875.11430811638,-2.4092500583760392
94594.73969296861,long,1.32402,1377820800.0,378378.95877187443,1377871200.0,1.31856,200,101876.07235682913,7.697397009066198
96415.07285893374,short,1.31856,1377871200.0,385660.29143573495,1378105200.0,1.321025,200,92793.71125469869,-3.756011894046394
95509.73245787498,long,1.321025,1378105200.0,382038.92983149993,1378152000.0,1.3191950000000001,200,93877.86442961305,-1.708588210088092
95101.7654508095,short,1.3191950000000001,1378152000.0,380407.061803238,1378224000.0,1.3170899999999999,200,93892.53782597289,-1.2715091240467795
94799.45854460035,long,1.3170899999999999,1378224000.0,379197.8341784014,1378357200.0,1.31724,200,96192.62373524468,1.469591928089849
95147.74984226143,short,1.31724,1378357200.0,380590.9993690457,1378432800.0,1.31351,200,95247.18393553176,0.10450493410004862
95172.608365579,long,1.31351,1378432800.0,380690.43346231605,1378792800.0,1.3255,200,97652.22429299058,2.605388220407731
95792.51234743191,short,1.3255,1378792800.0,383170.04938972765,1378854000.0,1.326765,200,103785.81570422609,8.344392647102826
97790.83818663046,long,1.326765,1378854000.0,391163.3527465218,1378972800.0,1.32875,200,96948.31208651146,-0.8615593400590981
97580.2066616007,short,1.32875,1378972800.0,390320.8266464028,1379062800.0,1.3290600000000001,200,98901.01278845302,1.35355946870737
97910.40819331378,long,1.3290600000000001,1379062800.0,391641.6327732551,1379080800.0,1.325925,200,97704.18431616761,-0.21062508159398477
97858.85222402723,short,1.325925,1379080800.0,391435.408896109,1379102400.0,1.32958,200,95773.81655453955,-2.130656166612738
97337.59330665533,long,1.32958,1379102400.0,389350.3732266213,1379325600.0,1.33439,200,94913.3968580449,-2.490503788164521
96731.54419450271,short,1.33439,1379325600.0,386926.1767780109,1379397600.0,1.33535,200,99913.03000979946,3.2889848309457204
97526.91564832692,long,1.33535,1379397600.0,390107.6625933077,1379487600.0,1.3350950000000001,200,96892.39783944568,-0.6506078908198552
97368.28619610662,short,1.3350950000000001,1379487600.0,389473.14478442643,1379523600.0,1.33751,200,97199.86357138661,-0.17297482712266088
97326.1805399266,long,1.33751,1379523600.0,389304.7221597064,1379592000.0,1.354125,200,95733.99924482184,-1.6359229205050259
96928.13521615039,short,1.354125,1379592000.0,387712.5408646016,1379696400.0,1.353535,200,107862.43205614813,11.28082864238973
99661.70942614984,long,1.353535,1379696400.0,398646.83770459937,1379944800.0,1.349245,200,100050.15644395573,0.38976555794853807
99758.82118060131,short,1.349245,1379944800.0,399035.28472240525,1380002400.0,1.349915,200,96933.11931736249,-2.8325333336920937
99052.39571479161,long,1.349915,1380002400.0,396209.58285916643,1380056400.0,1.3470799999999998,200,98611.30466793629,-0.44531083137593475
98942.12295307778,short,1.3470799999999998,1380056400.0,395768.4918123111,1380096000.0,1.349695,200,97076.64166404249,-1.8854267862434846
98475.75263081896,long,1.349695,1380096000.0,393903.0105232758,1380175200.0,1.35188,200,96758.36916824512,-1.743965815638119
98046.40676517547,short,1.35188,1380175200.0,392185.62706070195,1380261600.0,1.349465,200,99478.6104075744,1.4607405713797308
98404.45767577522,long,1.349465,1380261600.0,393617.8307031009,1380488400.0,1.348195,200,99990.25246196688,1.6115070634468278
98800.90637232312,short,1.348195,1380488400.0,395203.62548929255,1380542400.0,1.354975,200,97965.4763282899,-0.8455692105545877
98592.04886131483,long,1.354975,1380542400.0,394368.19544525933,1380628800.0,1.354955,200,94154.3534314222,-4.501068271879554
97482.62500384166,short,1.354955,1380628800.0,389930.5000153667,1380715200.0,1.35817,200,97469.59995909879,-0.013361401318805782
97479.36874265596,long,1.35817,1380715200.0,389917.47497062385,1380790800.0,1.360515,200,95390.54909413564,-2.142832555712147
96957.16383052588,short,1.360515,1380790800.0,387828.6553221035,1381125600.0,1.35754,200,98477.12870733085,1.5676663969479916
97337.15504972712,long,1.35754,1381125600.0,389348.6201989085,1381194000.0,1.3568,200,99269.69452929433,1.9854078112103415
97820.28991961892,short,1.3568,1381194000.0,391281.1596784757,1381237200.0,1.35935,200,97338.53758954984,-0.4924871215010172
97699.85183710165,long,1.35935,1381237200.0,390799.4073484066,1381298400.0,1.354845,200,96042.87351015233,-1.6959885770472378
97285.60725536435,short,1.354845,1381298400.0,389142.4290214573,1381348800.0,1.352395,200,94363.7702430117,-3.0033599982401604
96555.14800227615,long,1.352395,1381348800.0,386220.5920091047,1381496400.0,1.3553549999999999,200,98147.03901815711,1.6486858016554775
96953.12075624641,short,1.3553549999999999,1381496400.0,387812.48302498565,1381755600.0,1.3584399999999999,200,98879.86919124797,1.9872990368671795
97434.80786499681,long,1.3584399999999999,1381755600.0,389739.23145998723,1381788000.0,1.355595,200,95431.25376687397,-2.0563022004404363
96933.91934046609,short,1.355595,1381788000.0,387735.67736186436,1381867200.0,1.352365,200,95090.42937985371,-1.9018007041863163
96473.04685031301,long,1.352365,1381867200.0,385892.187401252,1381935600.0,1.34889,200,98571.00617734838,2.1746585139894528
96997.53668207183,short,1.34889,1381935600.0,387990.14672828733,1381975200.0,1.3548,200,94735.05335850106,-2.3325162689301107
96431.91585117913,long,1.3548,1381975200.0,385727.6634047165,1382043600.0,1.36723,200,92600.85186334187,-3.972817457811003
