amount_invested,direction,entry_price,entry_time,wallet_balance,exit_time,exit_price,leverage,amount_exit,profit
133342.69555586713,long,1.318285,1469642400.0,533370.7822234685,1469700000.0,1.314925,200,127362.33701322472,-4.484953988452105
131847.60592020652,short,1.314925,1469700000.0,527390.4236808261,1469761200.0,1.3199299999999998,200,129248.14387401193,-1.9715656026153174
131197.74040865788,long,1.3199299999999998,1469761200.0,524790.9616346315,1470002400.0,1.322035,200,127340.30761829676,-2.9401670930809383
130233.3822110676,short,1.322035,1470002400.0,520933.5288442704,1470092400.0,1.318495,200,131849.5872963505,1.2410067663477782
130637.43348238833,long,1.318495,1470092400.0,522549.7339295533,1470193200.0,1.33196,200,133362.71955333342,2.0861448348282927
131318.7550001246,short,1.33196,1470193200.0,525275.0200004984,1470276000.0,1.3341399999999999,200,141712.6818973117,7.915036125020561
133917.23672442138,long,1.3341399999999999,1470276000.0,535668.9468976855,1470290400.0,1.328835,200,132237.19692032528,-1.254535894847751
133497.22677339736,short,1.328835,1470290400.0,533988.9070935894,1470369600.0,1.3134649999999999,200,129415.55344666139,-3.0574967176391876
132476.80844171337,long,1.3134649999999999,1470369600.0,529907.2337668535,1470603600.0,1.30792,200,144440.88756296644,9.031074391044818
135467.82822202664,short,1.30792,1470603600.0,541871.3128881066,1470668400.0,1.30419,200,131101.06631366647,-3.223467863678465
134376.1377449366,long,1.30419,1470668400.0,537504.5509797464,1470686400.0,1.30406,200,137321.96387084958,2.1922241369256654
135112.59427641483,short,1.30406,1470686400.0,540450.3771056593,1470754800.0,1.300905,200,135009.6310969519,-0.07620546405340672
135086.8534815491,long,1.300905,1470754800.0,540347.4139261964,1470834000.0,1.30247,200,137591.7509113669,1.8542866054393112
135713.07783900356,short,1.30247,1470834000.0,542852.3113560142,1470938400.0,1.296705,200,136958.61565096688,0.9177728718531503
136024.4622919944,long,1.296705,1470938400.0,544097.8491679776,1470956400.0,1.295405,200,140633.05607427598,3.388062488634315
137176.6107375648,short,1.295405,1470956400.0,548706.4429502592,1470967200.0,1.29741,200,136132.75853075186,-0.7609549479320147
136915.64768586156,long,1.29741,1470967200.0,547662.5907434463,1471014000.0,1.2931549999999998,200,135308.19437931955,-1.1740464539379327
136513.78435922606,short,1.2931549999999998,1471014000.0,546055.1374369042,1471291200.0,1.2881049999999998,200,133107.7275924413,-2.4950277239564027
135662.27016752987,long,1.2881049999999998,1471291200.0,542649.0806701195,1471399200.0,1.303285,200,139720.5595596091,2.9914650455632423
136676.84251554968,short,1.303285,1471399200.0,546707.3700621987,1471478400.0,1.304825,200,148923.64528205112,8.960408026040053
139738.54320717504,long,1.304825,1471478400.0,558954.1728287002,1471561200.0,1.3163200000000002,200,138497.58029938577,-0.8880605732016508
139428.30248022772,short,1.3163200000000002,1471561200.0,557713.2099209109,1471845600.0,1.3052,200,148680.27178495534,6.635646522369188
141741.29480640963,long,1.3052,1471845600.0,566965.1792256385,1471950000.0,1.3187200000000001,200,150767.6913686141,6.368219349578204
143997.89394696074,short,1.3187200000000001,1471950000.0,575991.575787843,1472043600.0,1.325795,200,155065.9341742454,7.686251460984135
146764.9040037819,long,1.325795,1472043600.0,587059.6160151276,1472104800.0,1.32123,200,141003.91962587525,-3.9253147181278476
145324.65790930524,short,1.32123,1472104800.0,581298.631637221,1472169600.0,1.3210899999999999,200,141627.33611112082,-2.5441806307170935
144400.32745975914,long,1.3210899999999999,1472169600.0,577601.3098390365,1472227200.0,1.31536,200,144513.72941070684,0.07853302893603886
144428.67794749606,short,1.31536,1472227200.0,577714.7117899843,1472482800.0,1.3086950000000002,200,139786.8062365933,-3.2139543038607825
143268.21001977037,long,1.3086950000000002,1472482800.0,573072.8400790815,1472583600.0,1.3079450000000001,200,148695.0229739934,3.787869586333312
144624.91325832612,short,1.3079450000000001,1472583600.0,578499.6530333045,1472608800.0,1.31126,200,144011.13408153167,-0.4243938080696637
144471.4684641275,long,1.31126,1472608800.0,577885.87385651,1472648400.0,1.309555,200,141765.42300263676,-1.873065658055982
143794.95709875482,short,1.309555,1472648400.0,575179.8283950193,1472670000.0,1.31318,200,142406.6785671031,-0.9654570366457815
143447.8874658419,long,1.31318,1472670000.0,573791.5498633676,1472713200.0,1.3131549999999999,200,140504.41675485444,-2.051944272576592
142712.01978809503,short,1.3131549999999999,1472713200.0,570848.0791523801,1472716800.0,1.325395,200,142691.7760271642,-0.014185042690096277
142706.95884786232,long,1.325395,1472716800.0,570827.8353914493,1472767200.0,1.327135,200,132887.14459988975,-6.881103996085654
140252.00528586918,short,1.327135,1472767200.0,561008.0211434767,1473026400.0,1.32934,200,141635.06766107777,0.9861266314086302
140597.77087967133,long,1.32934,1473026400.0,562391.0835186853,1473084000.0,1.32934,200,138848.00419909402,-1.2445195038510375
140160.329209527,short,1.32934,1473084000.0,560641.316838108,1473109200.0,1.3309,200,140160.329209527,0.0
140160.329209527,long,1.3309,1473109200.0,560641.316838108,1473220800.0,1.34113,200,138925.90103741223,-0.8807257938652616
139851.7221664983,short,1.34113,1473220800.0,559406.8886659932,1473296400.0,1.33546,200,147937.23382857128,5.781488806013334
141873.10008201655,long,1.33546,1473296400.0,567492.4003280662,1473354000.0,1.3301450000000001,200,146373.53956343862,3.1721584139772636
142998.20995237207,short,1.3301450000000001,1473354000.0,571992.8398094883,1473415200.0,1.331705,200,138761.63271038252,-2.962678514227985
141939.06564187468,long,1.331705,1473415200.0,567756.2625674987,1473426000.0,1.32475,200,140697.04900184926,-0.8750350965104604
141628.56148186832,short,1.32475,1473426000.0,566514.2459274733,1473444000.0,1.3273,200,136097.72388613544,-3.905171060034353
140245.8520829351,long,1.3273,1473444000.0,560983.4083317404,1473627600.0,1.32679,200,138221.9067116959,-1.4431409850484154
139739.8657401253,short,1.32679,1473627600.0,558959.4629605012,1473674400.0,1.326465,200,139335.8543439752,-0.289116777098846
139638.86289108777,long,1.326465,1473674400.0,558555.4515643511,1473746400.0,1.33175,200,139896.38421412185,0.18441952168783382
139703.2432218463,short,1.33175,1473746400.0,558812.9728873852,1473822000.0,1.3196649999999999,200,143891.96215654106,2.998297561383853
140750.42295551999,long,1.3196649999999999,1473822000.0,563001.6918220799,1473919200.0,1.32169,200,150416.3138791027,6.867397426320584
143166.89568641566,short,1.32169,1473919200.0,572667.5827456627,1474261200.0,1.30483,200,144801.37440265057,1.141659675163297
143575.5153654744,long,1.30483,1474261200.0,574302.0614618976,1474336800.0,1.3042049999999998,200,157359.9031832344,9.600792852925904
147021.6123199144,short,1.3042049999999998,1474336800.0,588086.4492796576,1474401600.0,1.29873,200,146504.02264861623,-0.35205005790026583
146892.21490208985,long,1.29873,1474401600.0,587568.8596083594,1474574400.0,1.307875,200,151445.414571271,3.099687530898792
148030.51481938513,short,1.307875,1474574400.0,592122.0592775405,1474837200.0,1.29647,200,155667.87495743774,5.159314717895224
149939.8548538983,long,1.29647,1474837200.0,599759.4194155931,1475049600.0,1.29928,200,159548.42171501718,6.408280753960644
152341.996569178,short,1.29928,1475049600.0,609367.986276712,1475107200.0,1.3050549999999999,200,154730.2115231973,1.567666833705183
152939.05030768283,long,1.3050549999999999,1475107200.0,611756.2012307313,1475136000.0,1.2993350000000001,200,148052.60524436564,-3.1950277273767838
151717.43904185353,short,1.2993350000000001,1475136000.0,606869.7561674141,1475222400.0,1.2962,200,146898.9486293596,-3.1759634508230015
150512.81643873005,long,1.2962,1475222400.0,602051.2657549202,1475445600.0,1.2934350000000001,200,153160.1071486065,1.758847367628723
151174.63911619916,short,1.2934350000000001,1475445600.0,604698.5564647967,1475532000.0,1.284975,200,148834.14072966523,-1.5482083504329889
150589.51451956568,long,1.284975,1475532000.0,602358.0580782627,1475560800.0,1.277295,200,157797.8253204312,4.7867282286304
152391.59221978206,short,1.277295,1475560800.0,609566.3688791282,1475582400.0,1.2763200000000001,200,145804.7950346293,-4.3222838538580035
